nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
INTERMEDIÁRIO;ESPECIAL;V;5589.48;23.95;1916.0;2395.0;1175.0;8680.48;9159.48;1197.5;6786.98;01/04/2026
INTERMEDIÁRIO;ESPECIAL;IV;5321.87;22.8;1824.0;2280.0;1175.0;8320.869999999999;8776.869999999999;1140.0;6461.87;01/04/2026
INTERMEDIÁRIO;ESPECIAL;III;5217.82;22.35;1788.0;2235.0;1175.0;8180.82;8627.82;1117.5;6335.32;01/04/2026
INTERMEDIÁRIO;ESPECIAL;II;5114.68;21.92;1753.6;2192.0;1175.0;8043.280000000001;8481.68;1096.0;6210.68;01/04/2026
INTERMEDIÁRIO;ESPECIAL;I;5014.41;21.49;1719.2;2149.0;1175.0;7908.61;8338.41;1074.5;6088.91;01/04/2026
INTERMEDIÁRIO;C;V;4730.94;20.27;1621.6;2027.0;1175.0;7527.539999999999;7932.94;1013.5;5744.44;01/04/2026
INTERMEDIÁRIO;C;IV;4638.43;19.87;1589.6;1987.0;1175.0;7403.030000000001;7800.43;993.5;5631.93;01/04/2026
INTERMEDIÁRIO;C;III;4547.52;19.48;1558.4;1948.0;1175.0;7280.92;7670.52;974.0;5521.52;01/04/2026
INTERMEDIÁRIO;C;II;4458.16;19.1;1528.0;1910.0;1175.0;7161.16;7543.16;955.0;5413.16;01/04/2026
INTERMEDIÁRIO;C;I;4371.29;18.72;1497.6;1872.0;1175.0;7043.889999999999;7418.29;936.0;5307.29;01/04/2026
INTERMEDIÁRIO;B;V;4123.9;17.66;1412.8;1766.0;1175.0;6711.7;7064.9;883.0;5006.9;01/04/2026
INTERMEDIÁRIO;B;IV;4042.41;17.32;1385.6;1732.0;1175.0;6603.01;6949.41;866.0;4908.41;01/04/2026
INTERMEDIÁRIO;B;III;3963.18;16.98;1358.4;1698.0;1175.0;6496.58;6836.18;849.0;4812.18;01/04/2026
INTERMEDIÁRIO;B;II;3885.18;16.65;1332.0;1665.0;1175.0;6392.18;6725.18;832.5;4717.68;01/04/2026
INTERMEDIÁRIO;B;I;3809.36;16.32;1305.6;1632.0;1175.0;6289.96;6616.360000000001;816.0;4625.360000000001;01/04/2026
INTERMEDIÁRIO;A;V;3628.24;15.54;1243.2;1554.0;1175.0;6046.44;6357.24;777.0;4405.24;01/04/2026
INTERMEDIÁRIO;A;IV;3556.63;15.24;1219.2;1524.0;1175.0;5950.83;6255.63;762.0;4318.63;01/04/2026
INTERMEDIÁRIO;A;III;3487.01;14.94;1195.2;1494.0;1175.0;5857.21;6156.01;747.0;4234.01;01/04/2026
INTERMEDIÁRIO;A;II;3418.34;14.65;1172.0;1465.0;1175.0;5765.34;6058.34;732.5;4150.84;01/04/2026
INTERMEDIÁRIO;A;I;3351.59;14.36;1148.8;1436.0;1175.0;5675.39;5962.59;718.0;4069.59;01/04/2026
